Project Data;;;Project Properties;;;;;;;;;;Coverage Scores;;;;;;Zero-Coverage;TSR results: Checked Coverage;;;;;;;;;;;;;;;TSR results: Line Coverage;;;;;;;;;;;;;;;TSR results: Method Coverage;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Test Case Mode;Greedy HGS;;;;;Delayed Greedy;;;;;Genetic;;;;;Greedy HGS;;;;;Delayed Greedy;;;;;Genetic;;;;;Greedy HGS;;;;;Delayed Greedy;;;;;Genetic;;;;
ProjectID;Project name;Version;S_LOC;T_LOC;T vs S LOC;#Assertions;#TCs_orig;Ass/TC;Ass/loc;T_parse;MUT_str_orig;MUT_sc_orig;Cov_check;T_cov_check;Cov_line;T_cov_line;Cov_meth;T_cov_meth;keep_zero_cov_TCs;#TCs_rts_check_greed;T_red_checked_greed;RedFactor_checked_greed;MUT_strg_check_greed;MUT_sc_check_greed;#TCs_rts_check_del;T_red_checked_del;RedFactor_checked_del;MUT_str_check_del;MUT_sc_check_del;#TCs_rts_check_gen;T_red_checked_gen;RedFactor_checked_gen;MUT_str_check_gen;MUT_sc_check_gen;#TCs_rts_line_greed;T_red_line_greed;RedFactor_line_greed;MUT_str_line_greed;MUT_sc_line_greed;#TCs_rts_line_del;T_red_line_del;RedFactor_line_del;MUT_str_line_del;MUT_sc_line_del;#TCs_rts_line_gen;T_red_line_gen;RedFactor_line_greed;MUT_str_line_gen;MUT_sc_line_gen;#TCs_rts_meth_greed;T_red_meth_greed;RedFactor_meth_greed;MUT_str_meth_greed;MUT_sc_meth_greed;#TCs_rts_meth_del;T_red_meth_del;RedFactor_meth_del;MUT_str_meth_del;MUT_sc_meth_del;#TCs_rts_meth_gen;T_red_meth_gen;RedFactor_meth_gen;MUT_str_meth_gen;MUT_sc_meth_gen
6;minimal-json;0.9.6 (2016);3978;4423;1.1119;639;457;1.3982;0.1606;0.635;0.94;0.93;0.5930;7709.19;0.9722;243.61;0.9466;252.46;FALSCH;137;0.208;0.700;0.88;0.67;135;3.214;0.705;0.88;0.67;410;62.832;0.037;0.94;0.93;144;0.403;0.685;0.83;0.81;142;7.058;0.689;0.83;0.81;424;214.01;0.072;0.94;0.92;84;0.158;0.816;0.74;0.66;82;1.684;0.821;0.74;0.66;433;31.455;0.053;0.93;0.92
;;;;;;;;;;;;;;;;;;;WAHR;164;0.191;0.700;0.85;0.68;162;4.137;0.646;0.85;0.68;440;41.429;0.037;0.94;0.93;144;0.271;0.685;0.83;0.81;142;6.921;0.689;0.82;0.81;430;212.86;0.059;0.93;0.92;84;0.159;0.816;0.74;0.66;82;1.668;0.821;0.74;0.66;436;34.867;0.046;0.94;0.92
7;java-tuple;1.2.1 (2020);3389;5696;1.6807;1362;793;1.7175;0.4019;0.814;0.99;0.99;0.8123;5682.23;0.9990;403.50;1.0000;445.73;FALSCH;336;0.439;0.576;0.98;0.82;336;22.250;0.576;0.98;0.82;734;44.256;0.074;0.99;0.97;441;0.512;0.444;0.96;0.92;441;60.535;0.444;0.96;0.92;753;90.45;0.050;0.99;0.96;425;0.272;0.464;0.93;0.73;425;70.151;0.464;0.93;0.73;752;37.311;0.052;0.98;0.97
;;;;;;;;;;;;;;;;;;;WAHR;367;0.379;0.537;0.98;0.82;367;25.127;0.537;0.98;0.82;753;44.301;0.050;0.98;0.96;441;0.506;0.444;0.96;0.92;441;65.94;0.444;0.96;0.92;753;63.926;0.050;0.97;0.94;425;0.311;0.464;0.93;0.73;425;69.367;0.464;0.93;0.73;755;38.793;0.048;0.97;0.94
8;json-simple;1.1.1 (2021);2505;1048;0.4184;197;26;7.5769;0.0786;0.337;0.79;0.65;0.3962;599.45;0.6931;13.09;0.6666;13.31;FALSCH;21;0.130;0.192;0.79;0.65;21;0.261;0.192;0.79;0.65;25;5.081;0.038;0.79;0.65;21;0.118;0.192;0.79;0.65;21;0.301;0.192;0.79;0.65;22;17.149;0.154;0.79;0.65;12;0.042;0.538;0.77;0.6;12;0.1;0.538;0.77;0.6;22;0.1731;0.154;0.79;0.65
;;;;;;;;;;;;;;;;;;;WAHR;21;0.063;0.192;0.79;0.65;21;0.215;0.192;0.79;0.65;25;5.841;0.038;0.79;0.65;21;0.095;0.192;0.79;0.65;21;0.373;0.192;0.79;0.65;22;16.8;0.154;0.79;0.65;12;0.047;0.538;0.77;0.6;12;0.121;0.538;0.77;0.6;23;1.554;0.115;0.79;0.65
9;confucius;1.3* (2021);1658;956;0.5766;136;90;1.5111;0.0820;0.298;0.97;0.97;0.7636;570.88;0.9572;48.94;0.9740;50.91;FALSCH;28;0.057;0.689;0.95;0.94;28;0.241;0.689;0.95;0.94;48;1.03;0.467;0.97;0.97;35;0.073;0.611;0.94;0.94;35;0.231;0.611;0.94;0.94;84;2.381;0.067;0.97;0.97;26;0.051;0.711;0.95;0.92;26;0.128;0.711;0.94;0.91;86;0.912;0.044;0.97;0.97
;;;;;;;;;;;;;;;;;;;WAHR;55;0.590;0.389;0.96;0.95;55;0.173;0.389;0.96;0.95;78;0.889;0.133;0.97;0.97;35;0.093;0.611;0.94;0.94;35;0.235;0.611;0.95;0.95;70;3.907;0.222;0.95;0.95;26;0.056;0.711;0.94;0.91;26;0.141;0.711;0.95;0.92;84;0.972;0.067;0.97;0.97
10;ascii-table;1.2.0* (2021);410;551;1.3439;29;21;1.3810;0.0707;0.286;0.93;0.93;0.5786;171.14;0.9850;10.458;0.9538;10.232;FALSCH;8;0.134;0.619;0.80;0.65;8;0.096;0.619;0.80;0.65;20;0.886;0.048;0.93;0.92;9;0.049;0.571;0.90;0.89;9;0.063;0.571;0.90;0.89;7;11.91;0.667;0.90;0.90;4;0.041;0.810;0.91;0.81;4;0.042;0.810;0.91;0.81;7;1.987;0.667;0.89;0.84
;;;;;;;;;;;;;;;;;;;WAHR;8;0.029;0.619;0.80;0.65;8;0.037;0.619;0.80;0.65;20;0.812;0.048;0.93;0.92;9;0.055;0.571;0.90;0.89;9;0.066;0.571;0.90;0.89;6;11.24;0.714;0.90;0.89;4;0.040;0.810;0.91;0.81;4;0.047;0.810;0.91;0.81;7;1.738;0.667;0.89;0.78
