2000-12 6
2001-01 6
2001-04 2
2001-05 2
2001-07 4
2001-10 17
2001-11 4
2001-12 1
2002-01 4
2002-02 12
2002-03 7
2002-04 16
2002-06 13
2002-07 1
2002-08 10
2002-09 7
2002-11 1
2002-12 1
2003-01 1
2003-02 1
2003-03 1
2003-04 1
2003-05 1
2003-12 5
2004-02 1
2004-06 1
2004-09 7
2004-10 14
2004-11 9
2004-12 2
2006-02 8
2006-03 9
2006-04 2
2006-05 1
2006-06 5
2006-07 1
2006-08 5
2006-09 1
2006-10 2
2006-11 9
2006-12 4
2007-01 2
2007-02 12
2007-03 8
2007-04 2
2007-05 3
2007-07 19
2007-08 8
2007-09 2
2007-10 25
2007-11 10
2007-12 68
2008-01 13
2008-02 3
2008-03 2
2008-04 1
2008-05 9
2008-06 12
2008-07 32
2008-08 16
2008-09 4
2008-10 7
2008-11 7
2008-12 1
2009-01 3
2009-02 11
2009-03 7
2009-04 57
2009-05 90
2009-06 29
2009-07 37
2009-08 3
2009-09 1
2009-10 25
2009-11 5
2009-12 15
2010-01 11
2010-02 6
2010-03 3
2010-04 22
2010-05 14
2010-08 1
2010-10 5
2010-11 5
2010-12 1
2011-01 43
2011-02 2
2011-03 4
2011-04 12
2011-05 7
2011-06 15
2011-07 41
2011-08 16
2011-09 47
2011-10 10
2011-11 2
2011-12 1
2012-01 11
2012-02 12
2012-03 14
2012-04 48
2012-05 38
2012-06 20
2012-07 22
2012-08 35
2012-09 41
2012-10 30
2012-11 61
2012-12 46
2013-01 74
2013-02 19
2013-03 41
2013-04 17
2013-05 21
2013-06 13
2013-07 11
2013-08 21
2013-09 26
2013-10 45
2013-11 20
2013-12 18
2014-01 18
2014-02 46
2014-03 16
2014-04 25
2014-05 26
2014-06 23
2014-07 29
2014-08 8
2014-09 30
2014-10 13
2014-11 20
2014-12 35
2015-01 6
2015-02 4
2015-03 9
2015-04 7
2015-05 6
2015-06 13
2015-07 9
2015-08 21
2015-09 53
2015-10 15
2015-11 4
2015-12 4
2016-01 1
2016-02 3
2016-03 16
2016-04 8
2016-05 18
2016-06 7
2016-07 4
2016-09 6
2016-10 8
2016-11 14
2016-12 3
2017-01 17
2017-02 5
2017-03 2
2017-04 2
2017-05 14
2017-06 4
2017-07 1
2017-08 2
2017-09 1
2017-10 4
2017-12 2
2018-02 18
2018-04 3
2018-05 3
2018-06 5
2018-07 2
2018-09 1
2018-10 14
2018-11 7
2018-12 3
2019-01 20
2019-02 2
2019-03 3
2019-04 4
2019-05 2
2019-06 3
2019-09 4
2019-10 15
2019-11 7
2019-12 4
2020-01 7
2020-02 1
2020-04 3
2020-06 1
2020-07 2
2020-08 2
2020-09 2
2020-10 7
2021-01 16
2021-02 5
2021-06 1
