apache.org 1 1229
gmail.com 2 362
users.noreply.github.com 3 65
yahoo.com.br 4 14
gmx.net 5 6
163.com 6 5
rocketsoftware.com 7 4
yandex.ru 8 1
synopsys.com 9 1
sussex.ac.uk 10 1
